"indicator","period","start","end","group","subgroup","value"
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Kentucky",5.8
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Louisiana",9.5
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Maine",12.4
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Maryland",8.7
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Massachusetts",12.7
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Michigan",9
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Minnesota",9.5
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Mississippi",6.8
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Missouri",7.9
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Montana",9.2
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Nebraska",6.8
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Nevada",6.7
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New Hampshire",7.1
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New Jersey",9.3
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New Mexico",10.1
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New York",10.5
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","North Carolina",8.9
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","North Dakota",4.9
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Ohio",9.6
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Oklahoma",7.5
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Oregon",13
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Pennsylvania",9.3
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Rhode Island",13.5
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","South Carolina",5.4
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","South Dakota",6.2
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Tennessee",8.2
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Texas",6.7
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Utah",9.4
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Vermont",11.4
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Virginia",9.3
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Washington",10.3
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","West Virginia",5.1
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Wisconsin",7.2
"Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Wyoming",5.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Alabama",25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Alaska",19.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Arizona",20.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Arkansas",25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","California",20.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Colorado",22
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Connecticut",23.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Delaware",24
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","District of Columbia",27.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Florida",21.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Georgia",22.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Hawaii",19.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Idaho",25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Illinois",20.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Indiana",25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Iowa",25
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Kansas",23.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Kentucky",28.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Louisiana",26.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Maine",28
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Maryland",20.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Massachusetts",24.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Michigan",23.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Minnesota",23.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Mississippi",21.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Missouri",25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Montana",21.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Nebraska",25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Nevada",17.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New Hampshire",24.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New Jersey",21.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New Mexico",23
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New York",21.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","North Carolina",22.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","North Dakota",20.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Ohio",23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Oklahoma",24.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Oregon",28.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Pennsylvania",25.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Rhode Island",25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","South Carolina",21.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","South Dakota",20.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Tennessee",24
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Texas",18.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Utah",27.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Vermont",27.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Virginia",21.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Washington",25
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","West Virginia",23.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Wisconsin",22.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Wyoming",20.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Alabama",8.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Alaska",8.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Arizona",9.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Arkansas",7.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","California",9.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Colorado",10.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Connecticut",8.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Delaware",7.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","District of Columbia",11.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Florida",11
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Georgia",10.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Hawaii",6.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Idaho",9.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Illinois",8.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Indiana",9.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Iowa",7.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Kansas",9.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Kentucky",8.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Louisiana",9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Maine",11.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Maryland",10.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Massachusetts",9.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Michigan",10.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Minnesota",8.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Mississippi",8.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Missouri",11.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Montana",9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Nebraska",7.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Nevada",9.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New Hampshire",7.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New Jersey",7.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New Mexico",11.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","New York",9.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","North Carolina",9.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","North Dakota",5.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Ohio",9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Oklahoma",9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Oregon",12.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Pennsylvania",7.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Rhode Island",7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","South Carolina",9.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","South Dakota",6.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Tennessee",8.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Texas",7.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Utah",11.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Vermont",10.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Virginia",7.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Washington",11.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","West Virginia",6.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Wisconsin",7.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks","13",2020-08-19,2020-08-31,"By State","Wyoming",7.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Alabama",21
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Alaska",15
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Arizona",19.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Arkansas",25.7
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","California",15.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Colorado",17.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Connecticut",20
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Delaware",22.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","District of Columbia",19.6
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Florida",17.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Georgia",20.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Hawaii",11.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Idaho",23.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Illinois",19
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Indiana",23.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Iowa",22.4
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Kansas",22.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Kentucky",26
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Louisiana",23.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Maine",30.1
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Maryland",16.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Massachusetts",23.2
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Michigan",21.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Minnesota",22.9
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Mississippi",23.5
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Missouri",21.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Montana",21.8
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Nebraska",21.3
"Took Prescription Medication for Mental Health, Last 4 Weeks","14",2020-09-02,2020-09-14,"By State","Nevada",15.9
